Reporting level,Province/territory,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,New Brunswick,n/a,Hip Fracture Repair,50th percentile,2021,Hours,21.68333333
Provincial,New Brunswick,n/a,Hip Fracture Repair,90th percentile,2021,Hours,58.03333333
Provincial,New Brunswick,n/a,Hip Fracture Repair,Volume,2021,Number of cases,387
Provincial,New Brunswick,n/a,Hip Replacement,% meeting benchmark,2021,Proportion,54
Provincial,New Brunswick,n/a,Hip Replacement,50th percentile,2021,Days,168
Provincial,New Brunswick,n/a,Hip Replacement,90th percentile,2021,Days,484
Provincial,Manitoba,n/a,Knee Replacement,Volume,2021,Number of cases,926
Provincial,New Brunswick,n/a,Knee Replacement,% meeting benchmark,2021,Proportion,45
Provincial,New Brunswick,n/a,Knee Replacement,50th percentile,2021,Days,207
Provincial,New Brunswick,n/a,Knee Replacement,90th percentile,2021,Days,499
Provincial,New Brunswick,n/a,Knee Replacement,Volume,2021,Number of cases,915
Provincial,New Brunswick,n/a,Lung Cancer Surgery,50th percentile,2021,Days,24
Provincial,New Brunswick,n/a,Lung Cancer Surgery,90th percentile,2021,Days,41
Provincial,New Brunswick,n/a,Lung Cancer Surgery,Volume,2021,Number of cases,72
Provincial,New Brunswick,n/a,Prostate Cancer Surgery,50th percentile,2021,Days,39
Provincial,New Brunswick,n/a,Prostate Cancer Surgery,90th percentile,2021,Days,76
Provincial,New Brunswick,n/a,Prostate Cancer Surgery,Volume,2021,Number of cases,82
Provincial,New Brunswick,n/a,Radiation Therapy,% meeting benchmark,2021,Proportion,91.6
Provincial,New Brunswick,n/a,Radiation Therapy,50th percentile,2021,Days,13
Provincial,New Brunswick,n/a,Radiation Therapy,90th percentile,2021,Days,28
Provincial,New Brunswick,n/a,Radiation Therapy,Volume,2021,Number of cases,1159
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2021,Number of cases,360
Provincial,Nova Scotia,n/a,Knee Replacement,Volume,2021,Number of cases,946
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2008,Number of cases,164
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2008,Number of cases,287
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% meeting benchmark,2008,Proportion,85
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,Volume,2008,Number of cases,823
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2008,Number of cases,2079
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2008,Number of cases,5512
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2008,Number of cases,29890
Provincial,Newfoundland and Labrador,n/a,CABG,% meeting benchmark,2008,Proportion,95
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2008,Number of cases,210
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2009,Number of cases,181
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2009,Number of cases,310
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% meeting benchmark,2009,Proportion,88
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,50th percentile,2009,Days,9
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,90th percentile,2009,Days,33
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,Volume,2009,Number of cases,811
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2009,Number of cases,2039
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2009,Number of cases,5903
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2009,Number of cases,33565
Provincial,Newfoundland and Labrador,n/a,CABG,% meeting benchmark,2009,Proportion,98
Provincial,Newfoundland and Labrador,n/a,CABG,50th percentile,2009,Days,8
Provincial,Newfoundland and Labrador,n/a,CABG,90th percentile,2009,Days,136
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2009,Number of cases,185
Provincial,Newfoundland and Labrador,n/a,CABG,% meeting benchmark,2010,Proportion,100
Provincial,Newfoundland and Labrador,n/a,CABG,50th percentile,2010,Days,9
Provincial,Newfoundland and Labrador,n/a,CABG,90th percentile,2010,Days,84
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2010,Number of cases,179
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,% meeting benchmark,2010,Proportion,75
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,50th percentile,2010,Days,90
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,90th percentile,2010,Days,360
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2010,Number of cases,143
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,% meeting benchmark,2010,Proportion,67
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,50th percentile,2010,Days,113
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,90th percentile,2010,Days,438
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2010,Number of cases,358
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% meeting benchmark,2010,Proportion,94
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,50th percentile,2010,Days,14
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,90th percentile,2010,Days,27
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,Volume,2010,Number of cases,382
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2010,Proportion,78
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2010,Hours,26
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2010,Hours,60
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2010,Number of cases,188
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,% meeting benchmark,2010,Proportion,80
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,50th percentile,2010,Days,58
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,90th percentile,2010,Days,144
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2010,Number of cases,2256
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2010,Number of cases,6813
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2010,Number of cases,33591
Provincial,Newfoundland and Labrador,n/a,CABG,% meeting benchmark,2011,Proportion,100
Provincial,Newfoundland and Labrador,n/a,CABG,50th percentile,2011,Days,5
Provincial,Newfoundland and Labrador,n/a,CABG,90th percentile,2011,Days,48
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2011,Number of cases,184
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,% meeting benchmark,2011,Proportion,82
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,50th percentile,2011,Days,93
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,90th percentile,2011,Days,334
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2011,Number of cases,206
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,% meeting benchmark,2011,Proportion,62
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,50th percentile,2011,Days,139
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,90th percentile,2011,Days,469
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2011,Number of cases,413
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% meeting benchmark,2011,Proportion,96
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,50th percentile,2011,Days,14
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,90th percentile,2011,Days,26
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,Volume,2011,Number of cases,500
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,% meeting benchmark,2011,Proportion,87
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,50th percentile,2011,Hours,22
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,90th percentile,2011,Hours,54
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,Volume,2011,Number of cases,227
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2011,Proportion,91
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2011,Hours,24
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2011,Hours,48
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2011,Number of cases,229
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,% meeting benchmark,2011,Proportion,71
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,50th percentile,2011,Days,73
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,90th percentile,2011,Days,176
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2011,Number of cases,1427
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2011,Number of cases,6759
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2011,Number of cases,34051
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,% meeting benchmark,2012,Proportion,83
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,50th percentile,2012,Days,89
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,90th percentile,2012,Days,260
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2012,Number of cases,195
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,% meeting benchmark,2012,Proportion,81
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,50th percentile,2012,Days,105
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,90th percentile,2012,Days,250
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2012,Number of cases,438
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% meeting benchmark,2012,Proportion,98
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,50th percentile,2012,Days,8
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,90th percentile,2012,Days,19
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,Volume,2012,Number of cases,410
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,% meeting benchmark,2012,Proportion,81
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,50th percentile,2012,Hours,26
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,90th percentile,2012,Hours,62
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,Volume,2012,Number of cases,182
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2012,Proportion,88
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2012,Hours,30
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2012,Hours,49
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,Number of cases,210
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,% meeting benchmark,2012,Proportion,82
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,50th percentile,2012,Days,52
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,90th percentile,2012,Days,149
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2012,Number of cases,2484
Provincial,Newfoundland and Labrador,n/a,CABG,50th percentile,2012,Days,6
Provincial,Newfoundland and Labrador,n/a,CABG,90th percentile,2012,Days,69
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2012,Number of cases,156
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2012,Number of cases,8054
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2012,Number of cases,25692
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,% meeting benchmark,2013,Proportion,92
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,50th percentile,2013,Days,82
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,90th percentile,2013,Days,177
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2013,Number of cases,243
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,% meeting benchmark,2013,Proportion,93
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,50th percentile,2013,Days,77
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,90th percentile,2013,Days,170
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2013,Number of cases,439
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% meeting benchmark,2013,Proportion,97
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,50th percentile,2013,Days,14
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,90th percentile,2013,Days,25
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,Volume,2013,Number of cases,384
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,% meeting benchmark,2013,Proportion,82
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,50th percentile,2013,Hours,19
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,90th percentile,2013,Hours,64
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2013,Proportion,85
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2013,Hours,26
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2013,Hours,51
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,217
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,% meeting benchmark,2013,Proportion,95
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,50th percentile,2013,Days,35
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,90th percentile,2013,Days,103
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2013,Number of cases,1278
Provincial,Newfoundland and Labrador,n/a,CABG,50th percentile,2013,Days,9
Provincial,Newfoundland and Labrador,n/a,CABG,90th percentile,2013,Days,43
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2013,Number of cases,159
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2013,Number of cases,8825
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2013,Number of cases,32867
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,50th percentile,2013,Days,13
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,90th percentile,2013,Days,27
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,Volume,2013,Number of cases,153
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,50th percentile,2013,Days,19
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,90th percentile,2013,Days,47
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,Volume,2013,Number of cases,117
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,50th percentile,2013,Days,14
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,90th percentile,2013,Days,34
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,Volume,2013,Number of cases,136
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,50th percentile,2013,Days,31
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,90th percentile,2013,Days,53
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,Volume,2013,Number of cases,69
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,% meeting benchmark,2014,Proportion,96
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,50th percentile,2014,Days,86
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,90th percentile,2014,Days,161
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2014,Number of cases,248
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,% meeting benchmark,2014,Proportion,92
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,50th percentile,2014,Days,98
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,90th percentile,2014,Days,176
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2014,Number of cases,402
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% meeting benchmark,2014,Proportion,98
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,50th percentile,2014,Days,14
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,90th percentile,2014,Days,23
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,Volume,2014,Number of cases,368
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,% meeting benchmark,2014,Proportion,75
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,50th percentile,2014,Hours,30
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,90th percentile,2014,Hours,93
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,Volume,2014,Number of cases,188
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2014,Proportion,84
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2014,Hours,27
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2014,Hours,52
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2014,Number of cases,227
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,% meeting benchmark,2014,Proportion,96
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,50th percentile,2014,Days,39
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,90th percentile,2014,Days,95
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2014,Number of cases,1479
Provincial,Newfoundland and Labrador,n/a,CABG,50th percentile,2014,Days,8
Provincial,Newfoundland and Labrador,n/a,CABG,90th percentile,2014,Days,111
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2014,Number of cases,155
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2014,Number of cases,9049
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2014,Number of cases,31104
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,50th percentile,2014,Days,14
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,90th percentile,2014,Days,27
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,Volume,2014,Number of cases,223
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,50th percentile,2014,Days,26
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,90th percentile,2014,Days,46
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,Volume,2014,Number of cases,123
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,50th percentile,2014,Days,15
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,90th percentile,2014,Days,29
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,Volume,2014,Number of cases,231
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,50th percentile,2014,Days,32
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,90th percentile,2014,Days,64
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,Volume,2014,Number of cases,62
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,% meeting benchmark,2015,Proportion,94
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,50th percentile,2015,Days,83
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,90th percentile,2015,Days,173
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2015,Number of cases,245
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,% meeting benchmark,2015,Proportion,87
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,50th percentile,2015,Days,99
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,90th percentile,2015,Days,186
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2015,Number of cases,447
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% meeting benchmark,2015,Proportion,99
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,50th percentile,2015,Days,13
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,90th percentile,2015,Days,20
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,Volume,2015,Number of cases,357
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,% meeting benchmark,2015,Proportion,85
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,50th percentile,2015,Hours,22
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,90th percentile,2015,Hours,64
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,Volume,2015,Number of cases,234
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2015,Proportion,92
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2015,Hours,24
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2015,Hours,46
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,238
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,% meeting benchmark,2015,Proportion,96
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,50th percentile,2015,Days,40
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,90th percentile,2015,Days,97
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2015,Number of cases,1761
Provincial,Newfoundland and Labrador,n/a,CABG,50th percentile,2015,Days,9
Provincial,Newfoundland and Labrador,n/a,CABG,90th percentile,2015,Days,134
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2015,Number of cases,149
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2015,Number of cases,9695
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2015,Number of cases,39052
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,50th percentile,2015,Days,15
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,90th percentile,2015,Days,29
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,Volume,2015,Number of cases,257
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,50th percentile,2015,Days,24
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,90th percentile,2015,Days,53
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,Volume,2015,Number of cases,156
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,50th percentile,2015,Days,13
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,90th percentile,2015,Days,32
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,Volume,2015,Number of cases,265
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,50th percentile,2015,Days,37
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,90th percentile,2015,Days,72
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,Volume,2015,Number of cases,69
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,% meeting benchmark,2016,Proportion,77
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,50th percentile,2016,Days,100
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,90th percentile,2016,Days,241
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2016,Number of cases,252
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,% meeting benchmark,2016,Proportion,70
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,50th percentile,2016,Days,127
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,90th percentile,2016,Days,269
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2016,Number of cases,498
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% meeting benchmark,2016,Proportion,100
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,50th percentile,2016,Days,12
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,90th percentile,2016,Days,20
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,Volume,2016,Number of cases,393
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,% meeting benchmark,2016,Proportion,90
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,50th percentile,2016,Hours,20
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,90th percentile,2016,Hours,48
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,Volume,2016,Number of cases,181
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2016,Proportion,97
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2016,Hours,22
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2016,Hours,44
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,233
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,% meeting benchmark,2016,Proportion,90
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,50th percentile,2016,Days,65
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,90th percentile,2016,Days,112
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2016,Number of cases,2053
Provincial,Newfoundland and Labrador,n/a,CABG,50th percentile,2016,Days,6
Provincial,Newfoundland and Labrador,n/a,CABG,90th percentile,2016,Days,83
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2016,Number of cases,152
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2016,Number of cases,9434
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2016,Number of cases,38484
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,50th percentile,2016,Days,17
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,90th percentile,2016,Days,29
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,Volume,2016,Number of cases,282
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,50th percentile,2016,Days,23
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,90th percentile,2016,Days,48
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,Volume,2016,Number of cases,135
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,50th percentile,2016,Days,13
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,90th percentile,2016,Days,26
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,Volume,2016,Number of cases,237
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,50th percentile,2016,Days,27
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,90th percentile,2016,Days,62
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,Volume,2016,Number of cases,68
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,% meeting benchmark,2017,Proportion,84
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,50th percentile,2017,Days,81
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,90th percentile,2017,Days,225
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2017,Number of cases,304
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,% meeting benchmark,2017,Proportion,66
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,50th percentile,2017,Days,145
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,90th percentile,2017,Days,291
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2017,Number of cases,527
